codpro;Provincia;departamentos;codmun;Municipio;IPU;grupo;clase;Bogotá, D.C.;Medellín;Barranquilla;Cali;Cúcuta;Cartagena;Manizales;Pereira;Bucaramanga;Armenia;Santa Marta;Villavicencio;Ibagué;Sincelejo;Mosquera;San Andrés;Valledupar;Zipaquirá;Montería;Sabanalarga;Neiva;Pasto;Girardot;Tuluá;Cartago;Tunja;Buenaventura;Sogamoso;Barrancabermeja;Fusagasugá;Popayán;Rionegro;Magangué;Aguachica;Florencia;Chiquinquirá;Yopal;Riohacha;La Dorada;Campo de La Cruz;Sevilla;Apartadó;Fonseca;El Carmen de Bolívar;Quibdó;Mariquita;Ocaña;Pamplona;Caucasia;Santander de Quilichao;Arauca;Lorica;Fundación;Bosconia;Montelíbano;Plato;Melgar;La Jagua de Ibirico;Anserma;San Gil;Juan de Acosta;Ipiales;Pitalito;Sahagún;Santiago de Tolú;Saravena;Villa de San Diego de Ubate;Puerto Boyacá;El Banco;Leticia;San Andrés de Tumaco;Providencia;Garzón;Andes;Granada;Puerto Asís;Líbano;Yarumal;Segovia;Aguadas;Tierralta;Mompós;Jericó;Mocoa;Pivijay;Riosucio;La Plata;San Marcos;Socorro;Villeta;Guamo;La Mesa;Málaga;Istmina;San Pablo;Garagoa;Barbosa;Manzanares;Sonsón;Chocontá;Moniquirá;Urrao;San Rafael;Santafé de Antioquia;Puerto Carreño;Belén de Umbría;Chaparral;Paz de Ariporo;Chinácota;Guaduas;Tibú;San José del Guaviare;Puerto Gaitán;La Unión;Pacho;Soatá;Túquerres;San Martín de Loba;San Vicente del Caguán;Caqueza;Cimitarra;Majagual;San Bernardo del Viento;Olaya Herrera;Miraflores;Barranca de Upía;Belén;Muzo;Barbacoas;Guasca;Patía;Ramiriquí;Guapi;Dabeiba;Riosucio;Salazar;Puerto Rondón;Bahía Solano;San Juan de Río Seco;Inírida;Achí;El Cocuy;Manaure;Silvia;Bajo Baudó;Curillo;Mitú;Leguízamo;Labranzagrande;La Primavera
920;Santa Marta;Magdalena;47001;Santa Marta;68,88268742;Urbana;No metropolitana;;;;;;;;;;;;;;;;;15155;;;10408;;;;;;;;;;;;;18953;;;;;10418;;11497;;;15826;16391;;;;;;;;;6551;10041;;17378;;15608;;;10453;;;;20236;;;;18350;;;;;;;;;;;;;18661;;;10628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15160;;;;;;;
960;Piedemonte;Meta;50001;Villavicencio;67,6451321;Urbana;No metropolitana;;;;;;;;;;;;;;;12038;;;14503;;;;;18954;;;19103;;;;14378;;;;;;20964;21393;;;;;;;;;;;;;;;;;;;;17297;;;;;;;;;;17402;;;;;;;;6544;;;;;;;;;;;;;;;18559;20891;14921;;;;19622;;;;15669;;;;;;;;;;;;17000;11233;;18159;;;;;5453;;;;;;9148;;;;15509;;20754;;;;;;;19137;;;;;;;;;;;
1320;Centro;Tolima;73001;Ibagué;66,87856174;Urbana;No metropolitana;;;;;;;;;;;;;;;12590;;;17382;;;12021;;4469;13893;12679;;;;;8582;;;;;;;;;11730;;12407;;;;;8206;;;;21134;;;;;;;5458;;15671;;;;;;;;20281;15455;;;;;19569;;;;8984;;;;;;;;;18553;19555;;;15694;4842;8974;;;;;;14958;;18548;;;;;;15293;11366;;;11713;;;;;21349;;;;;17254;;;;;;;;;;18388;;;;;;;;;10274;;;;;;;;;;;
1250;Sincelejo;Sucre;70001;Sincelejo;65,44469715;Urbana;No metropolitana;;;;;;;;;;;;;;;;;20267;;7745;12519;;;;;;;;;;;;;6354;;;;;;;10004;;20532;;4998;;;;;11885;;;5224;19082;14766;11344;7867;;20530;;;15170;;;3406;2935;;;;15986;;;;;;;;;;;;11168;10472;;;19212;;;7250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12394;7256;;;;;;;;;;;;;;;;;;13168;;;;;;;;;
760;Sabana Occidente;Cundinamarca;25473;Mosquera;64,0488912;Intermedia;Perimetropolitana;3271;;;;;;;;;;;12038;12590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8485;;;;;;;;;;8829;17462;;;;;;;18294;;14666;;;;;;;;;;;;;7644;11843;4258;;;;13067;15907;20581;;7255;15131;;;;;;18446;;;11445;;;;;9586;;;;;8192;;;;;;21184;15710;20729;;7372;;12340;;;;;;;8221;;;;;;;;;;;
121;San Andrés;Archipiélago de San Andrés;88001;San Andrés;63,96600992;Intermedia;Insular;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;Norte;Cesar;20001;Valledupar;63,92214065;Intermedia;Cercana a Urbana;;;18662;;;;;;;;15155;;;20267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9622;5651;;12990;;7149;;;21250;;;;;;;;13871;;;;;;;;;;;;;14272;;;13776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13496;;;;;;;
750;Sabana Centro;Cundinamarca;25899;Zipaquirá;60,38162019;Intermedia;Perimetropolitana;3367;;;;;;;;;;;14503;17382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13260;;;19500;;;;;;;3696;19842;;;;;;;19947;;18896;;;;;;;;;;;;17597;9416;16389;9032;;;;9837;10682;;;4026;11646;;;;;;;;;13035;;;;;4519;18499;;;;9844;21333;;;;18405;17955;12481;15596;;4377;;9111;;;;;;;12761;;;;;;;;;;;
650;Sinú Medio;Córdoba ;23001;Montería;60,35260928;Intermedia;Cercana a Urbana;;;;;;16130;;;;;;;;7745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6537;14736;;;;;20938;;;5828;8093;;;;;;;;;;;;;18909;20869;;4897;17342;;;;;;7347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12491;6087;;;;;;;;;;;;;;;;;;13264;;;;;;;;;
150;Centro Oriente;Atlántico;8638;Sabanalarga;60,34041588;Intermedia;Perimetropolitana;;;4412;;;5867;;;;;10408;;;12519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12503;15992;;11044;;21560;;;3058;;;14935;11768;;;;;;;;;;;;;;;;;18552;;;12400;;;18779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17301;;;;;;;;;;;;;;;;;;;;;;;;;;;
