codpro;Provincia;departamentos;codmun;Municipio;IPU;grupo;clase;Bogotá, D.C.;Medellín;Barranquilla;Cali;Cúcuta;Cartagena;Manizales;Pereira;Bucaramanga;Armenia;Santa Marta;Villavicencio;Ibagué;Sincelejo;Mosquera;San Andrés;Valledupar;Zipaquirá;Montería;Sabanalarga;Neiva;Pasto;Girardot;Tuluá;Cartago;Tunja;Buenaventura;Sogamoso;Barrancabermeja;Fusagasugá;Popayán;Rionegro;Magangué;Aguachica;Florencia;Chiquinquirá;Yopal;Riohacha;La Dorada;Campo de La Cruz;Sevilla;Apartadó;Fonseca;El Carmen de Bolívar;Quibdó;Mariquita;Ocaña;Pamplona;Caucasia;Santander de Quilichao;Arauca;Lorica;Fundación;Bosconia;Montelíbano;Plato;Melgar;La Jagua de Ibirico;Anserma;San Gil;Juan de Acosta;Ipiales;Pitalito;Sahagún;Santiago de Tolú;Saravena;Villa de San Diego de Ubate;Puerto Boyacá;El Banco;Leticia;San Andrés de Tumaco;Providencia;Garzón;Andes;Granada;Puerto Asís;Líbano;Yarumal;Segovia;Aguadas;Tierralta;Mompós;Jericó;Mocoa;Pivijay;Riosucio;La Plata;San Marcos;Socorro;Villeta;Guamo;La Mesa;Málaga;Istmina;San Pablo;Garagoa;Barbosa;Manzanares;Sonsón;Chocontá;Moniquirá;Urrao;San Rafael;Santafé de Antioquia;Puerto Carreño;Belén de Umbría;Chaparral;Paz de Ariporo;Chinácota;Guaduas;Tibú;San José del Guaviare;Puerto Gaitán;La Unión;Pacho;Soatá;Túquerres;San Martín de Loba;San Vicente del Caguán;Caqueza;Cimitarra;Majagual;San Bernardo del Viento;Olaya Herrera;Miraflores;Barranca de Upía;Belén;Muzo;Barbacoas;Guasca;Patía;Ramiriquí;Guapi;Dabeiba;Riosucio;Salazar;Puerto Rondón;Bahía Solano;San Juan de Río Seco;Inírida;Achí;El Cocuy;Manaure;Silvia;Bajo Baudó;Curillo;Mitú;Leguízamo;Labranzagrande;La Primavera
920;Santa Marta;Magdalena;47001;Santa Marta;68,88268742;Urbana;No metropolitana;;;;;;;;;;;;;;;;;5;;;8,5;;;;;;;;;;;;;16,9;;;;;20,4;;20,6;;;23,4;23,5;;;;;;;;;26,9;26,9;;27,1;;27,3;;;28,6;;;;29,8;;;;30,9;;;;;;;;;;;;;34,3;;;34,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55,4;;;;;;;
960;Piedemonte;Meta;50001;Villavicencio;67,6451321;Urbana;No metropolitana;;;;;;;;;;;;;;;3,6;;;7,3;;;;;8,9;;;10,8;;;;14;;;;;;17,6;18,5;;;;;;;;;;;;;;;;;;;;25,9;;;;;;;;;;28,7;;;;;;;;31;;;;;;;;;;;;;;;34,2;34,2;34,3;;;;36,4;;;;37,9;;;;;;;;;;;;41,3;41,6;;42,1;;;;;43,3;;;;;;45,7;;;;47,5;;47,7;;;;;;;51,4;;;;;;;;;;;
1320;Centro;Tolima;73001;Ibagué;66,87856174;Urbana;No metropolitana;;;;;;;;;;;;;;;2,8;;;6,5;;;6,6;;8,1;9,3;9,9;;;;;13,3;;;;;;;;;18,5;;19,7;;;;;21,9;;;;23,7;;;;;;;25,1;;25,8;;;;;;;;27,9;28,6;;;;;29,6;;;;31,3;;;;;;;;;32,9;32,9;;;33,5;33,5;33,5;;;;;;36,1;;37,1;;;;;;38,9;38,9;;;39,6;;;;;41,3;;;;;42,5;;;;;;;;;;46,7;;;;;;;;;50,6;;;;;;;;;;;
1250;Sincelejo;Sucre;70001;Sincelejo;65,44469715;Urbana;No metropolitana;;;;;;;;;;;;;;;;;1,5;;5,1;5,1;;;;;;;;;;;;;13,5;;;;;;;17,1;;18,7;;20;;;;;21,4;;;23,1;23,5;23,5;23,5;23,7;;23,9;;;25,2;;;25,8;26,4;;;;27,5;;;;;;;;;;;;30,8;30,9;;;31,3;;;31,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,9;42,1;;;;;;;;;;;;;;;;;;50,4;;;;;;;;;
760;Sabana Occidente;Cundinamarca;25473;Mosquera;64,0488912;Intermedia;Perimetropolitana;36;;;;;;;;;;;3,6;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,3;;;;;;;;;;25,1;25,8;;;;;;;27,4;;28,5;;;;;;;;;;;;;30,6;30,6;30,7;;;;32,8;33,2;33,3;;34,3;34,4;;;;;;36,1;;;36,8;;;;;38,5;;;;;39,7;;;;;;42,1;43,1;43,8;;43,9;;44,1;;;;;;;47,8;;;;;;;;;;;
121;San Andrés;Archipiélago de San Andrés;88001;San Andrés;63,96600992;Intermedia;Insular;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;Norte;Cesar;20001;Valledupar;63,92214065;Intermedia;Cercana a Urbana;;;27,3;;;;;;;;5;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;22;;22,1;;22,4;;;23,6;;;;;;;;25,9;;;;;;;;;;;;;29,4;;;29,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,4;;;;;;;
750;Sabana Centro;Cundinamarca;25899;Zipaquirá;60,38162019;Intermedia;Perimetropolitana;39,6;;;;;;;;;;;7,3;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,6;;;19,6;;;;;;;21,4;22,1;;;;;;;23,7;;24,8;;;;;;;;;;;;26,8;27;27;27;;;;29,1;29,5;;;30,6;30,8;;;;;;;;;33,1;;;;;34,8;34,9;;;;36;36,3;;;;38,4;38,5;39,5;40,1;;40,2;;40,4;;;;;;;44,1;;;;;;;;;;;
650;Sinú Medio;Córdoba ;23001;Montería;60,35260928;Intermedia;Cercana a Urbana;;;;;;15,7;;;;;;;;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,5;18,6;;;;;20,1;;;20,7;21,3;;;;;;;;;;;;;25,4;25,5;;25,7;25,8;;;;;;26,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,8;37;;;;;;;;;;;;;;;;;;45,3;;;;;;;;;
150;Centro Oriente;Atlántico;8638;Sabanalarga;60,34041588;Intermedia;Perimetropolitana;;;30,9;;;15,7;;;;;8,5;;;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,4;18,4;;18,5;;18,8;;;20,1;;;20,7;21,2;;;;;;;;;;;;;;;;;25,8;;;26,2;;;26,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;
840;Norte;Huila;41001;Neiva;60,25640667;Intermedia;Cercana a Urbana;39,7;;;;;;;;;;;;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,5;;;;;;20,6;;;;;;;;;;23;;;;24,7;;;;;;;;;;26,3;;;;26,8;26,9;;;;;;;;;;;;;;;32,3;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;
980;Centro;Nariño, Putumayo;52001;Pasto;59,89383921;Intermedia;Alejada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,9;;;;;;;;;22,1;;;;;;;;;;;;;25,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,3;;;34,4;;;;;;;;;;;;39,7;;39,9;;;;;;;;;;;;;;;;;;;
