codmun;Municipio1;codpro;Provincia;Departamento
5284;Frontino;60;Occidente;Antioquia
5306;Giraldo;60;Occidente;Antioquia
5308;Girardota;100;Valle del Aburrá;Antioquia
5310;Gomez Plata;50;Norte;Antioquia
5313;Granada;70;Oriente;Antioquia
5315;Guadalupe;50;Norte;Antioquia
5318;Guarne;70;Oriente;Antioquia
5321;Guatape;70;Oriente;Antioquia
5347;Heliconia;60;Occidente;Antioquia
5353;Hispania;80;Suroeste;Antioquia
5360;Itagui;100;Valle del Aburrá;Antioquia
5361;Ituango;50;Norte;Antioquia
5364;Jardin;82;Cartama;Antioquia
5368;Jerico;82;Cartama;Antioquia
5376;La Ceja;70;Oriente;Antioquia
5380;La Estrella;100;Valle del Aburrá;Antioquia
5390;La Pintada;82;Cartama;Antioquia
5400;La Union;70;Oriente;Antioquia
5411;Liborina;60;Occidente;Antioquia
5425;Maceo;30;Magdalena Medio;Antioquia
5440;Marinilla;70;Oriente;Antioquia
5467;Montebello;82;Cartama;Antioquia
5475;Murindo;92;Urabá Sur;Antioquia
5480;Mutata;92;Urabá Sur;Antioquia
5483;Narino;71;Sonsón;Antioquia
5490;Necocli;91;Urabá Norte;Antioquia
5495;Nechi;20;Bajo Cauca;Antioquia
5501;Olaya;60;Occidente;Antioquia
5541;Penol;70;Oriente;Antioquia
5543;Peque;60;Occidente;Antioquia
5576;Pueblorrico;82;Cartama;Antioquia
5579;Puerto Berrio;30;Magdalena Medio;Antioquia
5585;Puerto Nare;30;Magdalena Medio;Antioquia
5591;Puerto Triunfo;30;Magdalena Medio;Antioquia
5604;Remedios;40;Nordeste;Antioquia
5607;Retiro;70;Oriente;Antioquia
5615;Rionegro;70;Oriente;Antioquia
5628;Sabanalarga;60;Occidente;Antioquia
5631;Sabaneta;100;Valle del Aburrá;Antioquia
5642;Salgar;80;Suroeste;Antioquia
5647;San Andres de Cuerquia;50;Norte;Antioquia
5649;San Carlos;72;Represas;Antioquia
5652;San Francisco;71;Sonsón;Antioquia
5656;San Jeronimo;60;Occidente;Antioquia
5658;San Jose de la Montana;50;Norte;Antioquia
5659;San Juan de Uraba;91;Urabá Norte;Antioquia
5660;San Luis;72;Represas;Antioquia
5664;San Pedro;50;Norte;Antioquia
5665;San Pedro de Uraba;91;Urabá Norte;Antioquia
5667;San Rafael;72;Represas;Antioquia
5670;San Roque;40;Nordeste;Antioquia
5674;San Vicente;70;Oriente;Antioquia
5679;Santa Barbara;82;Cartama;Antioquia
5686;Santa Rosa de Osos;50;Norte;Antioquia
5690;Santo Domingo;40;Nordeste;Antioquia
5697;El Santuario;70;Oriente;Antioquia
5736;Segovia;40;Nordeste;Antioquia
5756;Sonson;71;Sonsón;Antioquia
5761;Sopetran;60;Occidente;Antioquia
5789;Tamesis;82;Cartama;Antioquia
5790;Taraza;20;Bajo Cauca;Antioquia
5792;Tarso;80;Suroeste;Antioquia
5809;Titiribi;81;Penderisco-Sinifarná;Antioquia
5819;Toledo;50;Norte;Antioquia
5837;Turbo;91;Urabá Norte;Antioquia
5842;Uramita;60;Occidente;Antioquia
5847;Urrao;81;Penderisco-Sinifarná;Antioquia
5854;Valdivia;50;Norte;Antioquia
5856;Valparaiso;82;Cartama;Antioquia
5858;Vegachi;40;Nordeste;Antioquia
5861;Venecia;82;Cartama;Antioquia
5873;Vigia del Fuerte;92;Urabá Sur;Antioquia
5885;Yali;40;Nordeste;Antioquia
5887;Yarumal;50;Norte;Antioquia
5890;Yolombo;40;Nordeste;Antioquia
5893;Yondo;30;Magdalena Medio;Antioquia
5895;Zaragoza;20;Bajo Cauca;Antioquia
8001;Barranquilla;130;Norte;Atlántico
8078;Baranoa;150;Centro Oriente;Atlántico
8137;Campo de la Cruz;140;Sur;Atlántico
8141;Candelaria;140;Sur;Atlántico
8296;Galapa;130;Norte;Atlántico
8372;Juan de Acosta;160;Occidente;Atlántico
8421;Luruaco;140;Sur;Atlántico
8433;Malambo;130;Norte;Atlántico
8436;Manati;140;Sur;Atlántico
8520;Palmar de Varela;150;Centro Oriente;Atlántico
8549;Piojo;160;Occidente;Atlántico
8558;Polonuevo;150;Centro Oriente;Atlántico
8560;Ponedera;150;Centro Oriente;Atlántico
8573;Puerto Colombia;130;Norte;Atlántico
8606;Repelon;140;Sur;Atlántico
8634;Sabanagrande;150;Centro Oriente;Atlántico
8638;Sabanalarga;150;Centro Oriente;Atlántico
8675;Santa Lucia;140;Sur;Atlántico
8685;Santo Tomas;150;Centro Oriente;Atlántico
8758;Soledad;130;Norte;Atlántico
8770;Suan;140;Sur;Atlántico
8832;Tubara;160;Occidente;Atlántico
8849;Usiacuri;160;Occidente;Atlántico
11001;Bogota;170;Bogotá;Bogotá, D.C.
13001;Cartagena;190;Dique;Bolívar
13006;Achi;220;Mojana;Bolívar
13030;Altos del Rosario;200;Loba;Bolívar
13042;Arenal;200;Loba;Bolívar
13052;Arjona;190;Dique;Bolívar
13062;Arroyohondo;190;Dique;Bolívar
13074;Barranco de Loba;200;Loba;Bolívar
13140;Calamar;190;Dique;Bolívar
13160;Cantagallo;210;Magdalena Medio;Bolívar
13188;Cicuco;180;Depresión Momposina;Bolívar
13212;Cordoba;230;Montes de María;Bolívar
13222;Clemencia;190;Dique;Bolívar
13244;El Carmen de Bolivar;230;Montes de María;Bolívar
13248;El Guamo;230;Montes de María;Bolívar
13268;El Penon;200;Loba;Bolívar
13300;Hatillo de Loba;180;Depresión Momposina;Bolívar
13430;Magangue;1270;Sabanas;Bolívar
13433;Mahates;190;Dique;Bolívar
13440;Margarita;180;Depresión Momposina;Bolívar
13442;Maria La Baja;230;Montes de María;Bolívar
13458;Montecristo;220;Mojana;Bolívar
13468;Mompos;180;Depresión Momposina;Bolívar
13473;Morales;210;Magdalena Medio;Bolívar
13490;Norosi;200;Loba;Bolívar
13549;Pinillos;220;Mojana;Bolívar
13580;Regidor;200;Loba;Bolívar
13600;Rio Viejo;200;Loba;Bolívar
13620;San Cristobal;190;Dique;Bolívar
13647;San Estanislao;190;Dique;Bolívar
13650;San Fernando;180;Depresión Momposina;Bolívar
13654;San Jacinto;230;Montes de María;Bolívar
13655;San Jacinto del Cauca;220;Mojana;Bolívar
13657;San Juan Nepomuceno;230;Montes de María;Bolívar
13667;San Martin de Loba;200;Loba;Bolívar
13670;San Pablo;210;Magdalena Medio;Bolívar
13673;Santa Catalina;190;Dique;Bolívar
13683;Santa Rosa;190;Dique;Bolívar
13688;Santa Rosa del Sur;210;Magdalena Medio;Bolívar
13744;Simiti;210;Magdalena Medio;Bolívar
13760;Soplaviento;190;Dique;Bolívar
13780;Talaigua Nuevo;180;Depresión Momposina;Bolívar
13810;Tiquisio;200;Loba;Bolívar
13836;Turbaco;190;Dique;Bolívar
13838;Turbana;190;Dique;Bolívar
13873;Villanueva;190;Dique;Bolívar
13894;Zambrano;230;Montes de María;Bolívar
15001;Tunja;240;Centro;Boyacá
15022;Almeida;290;Neira;Boyacá
15047;Aquitania;340;Sugamuxi-Tundama;Boyacá
15051;Arcabuco;330;Ricaurte;Boyacá
15087;Belen;360;Valderrama;Boyacá
15090;Berbeo;270;Lengupa;Boyacá
15092;Beteitiva;360;Valderrama;Boyacá
15097;Boavita;300;Norte;Boyacá
15104;Boyaca;280;Márquez;Boyacá
15106;Briceno;311;Esmeraldas;Boyacá
15109;Buenavista;311;Esmeraldas;Boyacá
15114;Busbanza;340;Sugamuxi-Tundama;Boyacá
15131;Caldas;310;Occidente;Boyacá
15135;Campohermoso;270;Lengupa;Boyacá
15162;Cerinza;360;Valderrama;Boyacá
15172;Chinavita;290;Neira;Boyacá
15176;Chiquinquira;310;Occidente;Boyacá
15180;Chiscas;250;Gutiérrez;Boyacá
15183;Chita;360;Valderrama;Boyacá
15185;Chitaraque;330;Ricaurte;Boyacá
15187;Chivata;240;Centro;Boyacá
15189;Cienega;280;Márquez;Boyacá
15204;Combita;240;Centro;Boyacá
15212;Coper;311;Esmeraldas;Boyacá
15215;Corrales;340;Sugamuxi-Tundama;Boyacá
15218;Covarachia;300;Norte;Boyacá
15223;Cubara;112;Occidente;Boyacá
15224;Cucaita;240;Centro;Boyacá
15226;Cuitiva;340;Sugamuxi-Tundama;Boyacá
15232;Chiquiza;240;Centro;Boyacá
15236;Chivor;290;Neira;Boyacá
15238;Duitama;340;Sugamuxi-Tundama;Boyacá
15244;El Cocuy;250;Gutiérrez;Boyacá
15248;El Espino;250;Gutiérrez;Boyacá
15272;Firavitoba;340;Sugamuxi-Tundama;Boyacá
15276;Floresta;340;Sugamuxi-Tundama;Boyacá
15293;Gachantiva;330;Ricaurte;Boyacá
15296;Gameza;340;Sugamuxi-Tundama;Boyacá
15299;Garagoa;290;Neira;Boyacá
15317;Guacamayas;250;Gutiérrez;Boyacá
15322;Guateque;290;Neira;Boyacá
15325;Guayata;290;Neira;Boyacá
15332;Guican;250;Gutiérrez;Boyacá
15362;Iza;340;Sugamuxi-Tundama;Boyacá
15367;Jenesano;280;Márquez;Boyacá
15368;Jerico;360;Valderrama;Boyacá
15377;Labranzagrande;260;La Libertad;Boyacá
15380;La Capilla;290;Neira;Boyacá
15401;La Victoria;311;Esmeraldas;Boyacá
15403;La Uvita;300;Norte;Boyacá
15407;Villa de Leyva;330;Ricaurte;Boyacá
15425;Macanal;290;Neira;Boyacá
15442;Maripi;311;Esmeraldas;Boyacá
15455;Miraflores;270;Lengupa;Boyacá
15464;Mongua;340;Sugamuxi-Tundama;Boyacá
15466;Mongui;340;Sugamuxi-Tundama;Boyacá
15469;Moniquira;330;Ricaurte;Boyacá
15476;Motavita;240;Centro;Boyacá
15480;Muzo;311;Esmeraldas;Boyacá
15491;Nobsa;340;Sugamuxi-Tundama;Boyacá
15494;Nuevo Colon;280;Márquez;Boyacá
15500;Oicata;240;Centro;Boyacá
15507;Otanche;311;Esmeraldas;Boyacá
15511;Pachavita;290;Neira;Boyacá
15514;Paez;270;Lengupa;Boyacá
15516;Paipa;340;Sugamuxi-Tundama;Boyacá
15518;Pajarito;260;La Libertad;Boyacá
15522;Panqueba;250;Gutiérrez;Boyacá
15531;Pauna;311;Esmeraldas;Boyacá
15533;Paya;260;La Libertad;Boyacá
15537;Paz de Rio;360;Valderrama;Boyacá
15542;Pesca;340;Sugamuxi-Tundama;Boyacá
15550;Pisba;260;La Libertad;Boyacá
15572;Puerto Boyaca;30;Magdalena Medio;Boyacá
15580;Quipama;311;Esmeraldas;Boyacá
15599;Ramiriqui;280;Márquez;Boyacá
15600;Raquira;330;Ricaurte;Boyacá
15621;Rondon;280;Márquez;Boyacá
15632;Saboya;310;Occidente;Boyacá
15638;Sachica;330;Ricaurte;Boyacá
15646;Samaca;240;Centro;Boyacá
15660;San Eduardo;270;Lengupa;Boyacá
15664;San Jose de Pare;330;Ricaurte;Boyacá
15667;San Luis de Gaceno;290;Neira;Boyacá
15673;San Mateo;300;Norte;Boyacá
15676;San Miguel de Sema;310;Occidente;Boyacá
15681;San Pablo de Borbur;311;Esmeraldas;Boyacá
15686;Santana;330;Ricaurte;Boyacá
15690;Santa Maria;290;Neira;Boyacá
15693;Santa Rosa de Viterbo;340;Sugamuxi-Tundama;Boyacá
15696;Santa Sofia;330;Ricaurte;Boyacá
15720;Sativanorte;300;Norte;Boyacá
15723;Sativasur;300;Norte;Boyacá
15740;Siachoque;240;Centro;Boyacá
15753;Soata;300;Norte;Boyacá
15755;Socota;360;Valderrama;Boyacá
15757;Socha;360;Valderrama;Boyacá
15759;Sogamoso;340;Sugamuxi-Tundama;Boyacá
15761;Somondoco;290;Neira;Boyacá
15762;Sora;240;Centro;Boyacá
15763;Sotaquira;240;Centro;Boyacá
15764;Soraca;240;Centro;Boyacá
15774;Susacon;300;Norte;Boyacá
15776;Sutamarchan;330;Ricaurte;Boyacá
15778;Sutatenza;290;Neira;Boyacá
15790;Tasco;360;Valderrama;Boyacá
15798;Tenza;290;Neira;Boyacá
15804;Tibana;280;Márquez;Boyacá
15806;Tibasosa;340;Sugamuxi-Tundama;Boyacá
15808;Tinjaca;330;Ricaurte;Boyacá
15810;Tipacoque;300;Norte;Boyacá
15814;Toca;240;Centro;Boyacá
15816;Togui;330;Ricaurte;Boyacá
15820;Topaga;340;Sugamuxi-Tundama;Boyacá
15822;Tota;340;Sugamuxi-Tundama;Boyacá
15832;Tunungua;311;Esmeraldas;Boyacá
15835;Turmeque;280;Márquez;Boyacá
15837;Tuta;240;Centro;Boyacá
15839;Tutaza;360;Valderrama;Boyacá
15842;umbita;280;Márquez;Boyacá
15861;Ventaquemada;240;Centro;Boyacá
15879;Viracacha;280;Márquez;Boyacá
15897;Zetaquira;270;Lengupa;Boyacá
17001;Manizales;400;Centro;Caldas
17013;Aguadas;410;Norte;Caldas
17042;Anserma;390;Bajo Occidente;Caldas
17050;Aranzazu;410;Norte;Caldas
17088;Belalcazar;390;Bajo Occidente;Caldas
17174;Chinchina;400;Centro;Caldas
17272;Filadelfia;370;Alto Occidente;Caldas
17380;La Dorada;420;Oriente;Caldas
17388;La Merced;370;Alto Occidente;Caldas
17433;Manzanares;380;Alto Oriente;Caldas
17442;Marmato;370;Alto Occidente;Caldas
17444;Marquetalia;380;Alto Oriente;Caldas
17446;Marulanda;380;Alto Oriente;Caldas
17486;Neira;400;Centro;Caldas
17495;Norcasia;420;Oriente;Caldas
17513;Pacora;410;Norte;Caldas
17524;Palestina;400;Centro;Caldas
17541;Pensilvania;380;Alto Oriente;Caldas
17614;Riosucio;370;Alto Occidente;Caldas
17616;Risaralda;390;Bajo Occidente;Caldas
17653;Salamina;410;Norte;Caldas
17662;Samana;420;Oriente;Caldas
17665;San Jose;390;Bajo Occidente;Caldas
17777;Supia;370;Alto Occidente;Caldas
17867;Victoria;420;Oriente;Caldas
17873;Villa Maria;400;Centro;Caldas
17877;Viterbo;390;Bajo Occidente;Caldas
18001;Florencia;431;Florencia;Caquetá
18029;Albania;431;Florencia;Caquetá
18094;Belen de los Andaquies;431;Florencia;Caquetá
18150;Cartagena del Chaira;432;El Caguán;Caquetá
18205;Curillo;433;Río Caquetá;Caquetá
18247;El Doncello;432;El Caguán;Caquetá
18256;El Paujil;432;El Caguán;Caquetá
18410;La Montanita;431;Florencia;Caquetá
18460;Milan;431;Florencia;Caquetá
18479;Morelia;431;Florencia;Caquetá
18592;Puerto Rico;432;El Caguán;Caquetá
18610;San Jose del Fragua;431;Florencia;Caquetá
18753;San Vicente del Caguan;432;El Caguán;Caquetá
18756;Solano;433;Río Caquetá;Caquetá
18785;Solita;433;Río Caquetá;Caquetá
18860;Valparaiso;431;Florencia;Caquetá
19001;Popayan;450;Centro;Cauca
19022;Almaguer;490;Sur;Cauca
19050;Argelia;490;Sur;Cauca
19075;Balboa;490;Sur;Cauca
19100;Bolivar;490;Sur;Cauca
19110;Buenos Aires;460;Norte;Cauca
19130;Cajibio;450;Centro;Cauca
19137;Caldono;480;Oriente;Cauca
19142;Caloto;460;Norte;Cauca
19212;Corinto;460;Norte;Cauca
19256;El Tambo;450;Centro;Cauca
19290;Florencia;490;Sur;Cauca
19300;Guachene;460;Norte;Cauca
19318;Guapi;470;Occidente;Cauca
19355;Inza;480;Oriente;Cauca
19364;Jambalo;480;Oriente;Cauca
19392;La Sierra;450;Centro;Cauca
19397;La Vega;490;Sur;Cauca
19418;Lopez;470;Occidente;Cauca
19450;Mercaderes;490;Sur;Cauca
19455;Miranda;460;Norte;Cauca
19473;Morales;450;Centro;Cauca
19513;Padilla;460;Norte;Cauca
19517;Paez;480;Oriente;Cauca
19532;Patia;490;Sur;Cauca
19533;Piamonte;490;Sur;Cauca
19548;Piendamo;450;Centro;Cauca
19573;Puerto Tejada;460;Norte;Cauca
19585;Purace;480;Oriente;Cauca
19622;Rosas;450;Centro;Cauca
19693;San Sebastian;490;Sur;Cauca
19698;Santander de Quilichao;460;Norte;Cauca
19701;Santa Rosa;490;Sur;Cauca
19743;Silvia;480;Oriente;Cauca
19760;Sotara;450;Centro;Cauca
19780;Suarez;460;Norte;Cauca
19785;Sucre;490;Sur;Cauca
19807;Timbio;450;Centro;Cauca
19809;Timbiqui;470;Occidente;Cauca
19821;Toribio;480;Oriente;Cauca
19824;Totoro;480;Oriente;Cauca
19845;Villa Rica;460;Norte;Cauca
20001;Valledupar;520;Norte;Cesar
20011;Aguachica;530;Sur;Cesar
20013;Agustin Codazzi;520;Norte;Cesar
20032;Astrea;510;Noroccidente;Cesar
20045;Becerril;500;Centro;Cesar
20060;Bosconia;510;Noroccidente;Cesar
20175;Chimichagua;500;Centro;Cesar
20178;Chiriguana;500;Centro;Cesar
20228;Curumani;500;Centro;Cesar
20238;El Copey;510;Noroccidente;Cesar
20250;El Paso;510;Noroccidente;Cesar
20295;Gamarra;530;Sur;Cesar
20310;Gonzalez;530;Sur;Cesar
20383;La Gloria;530;Sur;Cesar
20400;La Jagua de Ibirico;500;Centro;Cesar
20443;Manaure;520;Norte;Cesar
20517;Pailitas;500;Centro;Cesar
20550;Pelaya;530;Sur;Cesar
20570;Pueblo Bello;520;Norte;Cesar
20614;Rio de Oro;530;Sur;Cesar
20621;La Paz;520;Norte;Cesar
20710;San Alberto;530;Sur;Cesar
20750;San Diego;520;Norte;Cesar
20770;San Martin;530;Sur;Cesar
20787;Tamalameque;500;Centro;Cesar
23001;Monteria;650;Sinú Medio;Córdoba 
23068;Ayapel;640;San Jorge;Córdoba 
23079;Buenavista;640;San Jorge;Córdoba 
23090;Canalete;620;Costanera;Córdoba 
23162;Cerete;650;Sinú Medio;Córdoba 
23168;Chima;600;Bajo Sinú;Córdoba 
23182;Chinu;630;Sabanas;Córdoba 
23189;Cienaga de Oro;650;Sinú Medio;Córdoba 
23300;Cotorra;600;Bajo Sinú;Córdoba 
23350;La Apartada;640;San Jorge;Córdoba 
23417;Lorica;600;Bajo Sinú;Córdoba 
23419;Los Cordobas;620;Costanera;Córdoba 
23464;Momil;600;Bajo Sinú;Córdoba 
23466;Montelibano;640;San Jorge;Córdoba 
23500;Monitos;620;Costanera;Córdoba 
23555;Planeta Rica;640;San Jorge;Córdoba 
23570;Pueblo Nuevo;640;San Jorge;Córdoba 
23574;Puerto Escondido;620;Costanera;Córdoba 
23580;Puerto Libertador;640;San Jorge;Córdoba 
23586;Purisima;600;Bajo Sinú;Córdoba 
23660;Sahagun;630;Sabanas;Córdoba 
23670;San Andres Sotavento;630;Sabanas;Córdoba 
23672;San Antero;600;Bajo Sinú;Córdoba 
23675;San Bernardo del Viento;620;Costanera;Córdoba 
23678;San Carlos;650;Sinú Medio;Córdoba 
23682;San Jose de Ure;640;San Jorge;Córdoba 
23686;San Pelayo;650;Sinú Medio;Córdoba 
23807;Tierralta;590;Alto Sinú;Córdoba 
23815;Tuchin;630;Sabanas;Córdoba 
23855;Valencia;590;Alto Sinú;Córdoba 
25001;Agua de Dios;670;Alto Magdalena;Cundinamarca
25019;Alban;690;Gualivá;Cundinamarca
25035;Anapoima;790;Tequendama;Cundinamarca
25040;Anolaima;790;Tequendama;Cundinamarca
25053;Arbelaez;780;Sumapaz;Cundinamarca
25086;Beltran;710;Magdalena Centro;Cundinamarca
25095;Bituima;710;Magdalena Centro;Cundinamarca
25099;Bojaca;760;Sabana Occidente;Cundinamarca
25120;Cabrera;780;Sumapaz;Cundinamarca
25123;Cachipay;790;Tequendama;Cundinamarca
25126;Cajica;750;Sabana Centro;Cundinamarca
25148;Caparrapi;691;Guaduas;Cundinamarca
25151;Caqueza;730;Oriente;Cundinamarca
25154;Carmen de Carupa;800;Ubaté;Cundinamarca
25168;Chaguani;691;Guaduas;Cundinamarca
25175;Chia;750;Sabana Centro;Cundinamarca
25178;Chipaque;730;Oriente;Cundinamarca
25181;Choachi;730;Oriente;Cundinamarca
25183;Choconta;660;Almeidas;Cundinamarca
25200;Cogua;750;Sabana Centro;Cundinamarca
25214;Cota;760;Sabana Occidente;Cundinamarca
25224;Cucunuba;800;Ubaté;Cundinamarca
25245;El Colegio;790;Tequendama;Cundinamarca
25258;El Penon;740;Río Negro;Cundinamarca
25260;El Rosal;760;Sabana Occidente;Cundinamarca
25269;Facatativa;760;Sabana Occidente;Cundinamarca
25279;Fomeque;730;Oriente;Cundinamarca
25281;Fosca;730;Oriente;Cundinamarca
25286;Funza;760;Sabana Occidente;Cundinamarca
25288;Fuquene;800;Ubaté;Cundinamarca
25290;Fusagasuga;780;Sumapaz;Cundinamarca
25293;Gachala;700;Guavio;Cundinamarca
25295;Gachancipa;750;Sabana Centro;Cundinamarca
25297;Gacheta;700;Guavio;Cundinamarca
25299;Gama;700;Guavio;Cundinamarca
25307;Girardot;670;Alto Magdalena;Cundinamarca
25312;Granada;780;Sumapaz;Cundinamarca
25317;Guacheta;800;Ubaté;Cundinamarca
25320;Guaduas;691;Guaduas;Cundinamarca
25322;Guasca;700;Guavio;Cundinamarca
25324;Guataqui;670;Alto Magdalena;Cundinamarca
25326;Guatavita;700;Guavio;Cundinamarca
25328;Guayabal de Siquima;710;Magdalena Centro;Cundinamarca
25335;Guayabetal;730;Oriente;Cundinamarca
25339;Gutierrez;730;Oriente;Cundinamarca
25368;Jerusalen;670;Alto Magdalena;Cundinamarca
25372;Junin;700;Guavio;Cundinamarca
25377;La Calera;170;Bogotá;Cundinamarca
25386;La Mesa;790;Tequendama;Cundinamarca
25394;La Palma;740;Río Negro;Cundinamarca
25398;La Pena;690;Gualivá;Cundinamarca
25402;La Vega;690;Gualivá;Cundinamarca
25407;Lenguazaque;800;Ubaté;Cundinamarca
25426;Macheta;660;Almeidas;Cundinamarca
25430;Madrid;760;Sabana Occidente;Cundinamarca
25436;Manta;660;Almeidas;Cundinamarca
25438;Medina;720;Medina;Cundinamarca
25473;Mosquera;760;Sabana Occidente;Cundinamarca
25483;Narino;670;Alto Magdalena;Cundinamarca
25486;Nemocon;750;Sabana Centro;Cundinamarca
25488;Nilo;670;Alto Magdalena;Cundinamarca
25489;Nimaima;690;Gualivá;Cundinamarca
25491;Nocaima;690;Gualivá;Cundinamarca
25506;Venecia;780;Sumapaz;Cundinamarca
25513;Pacho;740;Río Negro;Cundinamarca
25518;Paime;740;Río Negro;Cundinamarca
25524;Pandi;780;Sumapaz;Cundinamarca
25530;Paratebueno;720;Medina;Cundinamarca
25535;Pasca;780;Sumapaz;Cundinamarca
25572;Puerto Salgar;420;Oriente;Cundinamarca
25580;Puli;710;Magdalena Centro;Cundinamarca
25592;Quebradanegra;690;Gualivá;Cundinamarca
25594;Quetame;730;Oriente;Cundinamarca
25596;Quipile;790;Tequendama;Cundinamarca
25599;Apulo;790;Tequendama;Cundinamarca
25612;Ricaurte;670;Alto Magdalena;Cundinamarca
25645;San Antonio del Tequendama;790;Tequendama;Cundinamarca
25649;San Bernardo;780;Sumapaz;Cundinamarca
25653;San Cayetano;740;Río Negro;Cundinamarca
25658;San Francisco;690;Gualivá;Cundinamarca
25662;San Juan de Rio Seco;710;Magdalena Centro;Cundinamarca
25718;Sasaima;690;Gualivá;Cundinamarca
25736;Sesquile;660;Almeidas;Cundinamarca
25740;Sibate;780;Sumapaz;Cundinamarca
25743;Silvania;780;Sumapaz;Cundinamarca
25745;Simijaca;800;Ubaté;Cundinamarca
25754;Soacha;170;Bogotá;Cundinamarca
25758;Sopo;750;Sabana Centro;Cundinamarca
25769;Subachoque;760;Sabana Occidente;Cundinamarca
25772;Suesca;660;Almeidas;Cundinamarca
25777;Supata;690;Gualivá;Cundinamarca
25779;Susa;800;Ubaté;Cundinamarca
25781;Sutatausa;800;Ubaté;Cundinamarca
25785;Tabio;750;Sabana Centro;Cundinamarca
25793;Tausa;800;Ubaté;Cundinamarca
25797;Tena;790;Tequendama;Cundinamarca
25799;Tenjo;760;Sabana Occidente;Cundinamarca
25805;Tibacuy;780;Sumapaz;Cundinamarca
25807;Tibirita;660;Almeidas;Cundinamarca
25815;Tocaima;670;Alto Magdalena;Cundinamarca
25817;Tocancipa;750;Sabana Centro;Cundinamarca
25823;Topaipi;740;Río Negro;Cundinamarca
25839;Ubala;700;Guavio;Cundinamarca
25841;Ubaque;730;Oriente;Cundinamarca
25843;Villa de San Diego de Ubate;800;Ubaté;Cundinamarca
25845;Une;730;Oriente;Cundinamarca
25851;utica;690;Gualivá;Cundinamarca
25862;Vergara;690;Gualivá;Cundinamarca
25867;Viani;710;Magdalena Centro;Cundinamarca
25871;Villagomez;740;Río Negro;Cundinamarca
25873;Villapinzon;660;Almeidas;Cundinamarca
25875;Villeta;690;Gualivá;Cundinamarca
25878;Viota;790;Tequendama;Cundinamarca
25885;Yacopi;740;Río Negro;Cundinamarca
25898;Zipacon;760;Sabana Occidente;Cundinamarca
25899;Zipaquira;750;Sabana Centro;Cundinamarca
27001;Quibdo;540;Atrato;Chocó
27006;Acandi;550;Darién;Chocó
27025;Alto Baudo;570;Pacífico Sur;Chocó
27050;Atrato;540;Atrato;Chocó
27073;Bagado;540;Atrato;Chocó
27075;Bahia Solano;560;Pacífico Norte;Chocó
27077;Bajo Baudo;570;Pacífico Sur;Chocó
27099;Bojaya;540;Atrato;Chocó
27135;El Canton del San Pablo;580;San Juan;Chocó
27150;Carmen del Darien;550;Darién;Chocó
27160;Certegui;580;San Juan;Chocó
27205;Condoto;580;San Juan;Chocó
27245;El Carmen de Atrato;540;Atrato;Chocó
27250;El Litoral del San Juan;570;Pacífico Sur;Chocó
27361;Istmina;580;San Juan;Chocó
27372;Jurado;560;Pacífico Norte;Chocó
